ተሰድደው;0;5;0;0;0.166666666667;0.2;0.0;0.0;0;0;0.0
ሲኖሩ;0;3;0;0;0.166666666667;0.2;0.0;0.0;0;0;0.0
የቆዩ;0;3;0;0;0.125;0.3;0.2;0.0;0;0;0.0
ነበሩ;0;3;0;0;0.125;0.2;0.0;0.0;0;0;0.0
እኤአ;0;3;0;0;0.125;0.1;0.0;0.0;0;0;0.0
መጋቢት;0;4;0;0;0.0833333333333;0.0;0.0;0.0;0;0;0.0
2014;0;4;0;0;0.0;0.0;0.0;0.0;0;0;1.0
ዘህወሀት;0;5;0;0;0.0833333333333;0.0;0.0;0.0;0;0;0.0
ከደቡብ;0;4;0;0;0.0833333333333;0.1;0.0;0.0;0;0;0.0
ሱዳን;0;3;0;0;0.125;0.0;0.0;0.0;0;0;0.0
ወታደራዊ;0;5;0;0;0.0416666666667;0.1;0.142857142857;0.25;0;0;0.0
ቡድኖች;0;4;0;0;0.0416666666667;0.2;0.0;0.25;0;0;0.0
ጋር;0;2;0;0;0.0416666666667;0.0;0.0;0.0;0;0;0.0
በመመሳጠር;0;6;0;0;0.125;0.1;0.2;0.25;0;0;0.0
ኦኬሎ;0;3;0;0;0.0416666666667;0.0;0.0;0.0;0;0;0.0
ደቡብ;0;3;0;0;0.0416666666667;0.0;0.0;0.0;0;0;0.0
ሱዳንን;0;4;0;0;0.125;0.0;0.166666666667;0.0;0;0;0.0
እየጎበኙ;0;5;0;0;0.25;0.3;0.0;0.0;0;0;0.0
ባሉበት;0;4;0;0;0.125;0.1;0.0;0.0;0;0;0.0
ወቅት;0;3;0;0;0.0833333333333;0.0;0.0;0.0;0;0;0.0
ሕገወጥ;0;4;0;0;0.0416666666667;0.0;0.0;0.0;0;0;0.0
በሆነ;0;3;0;0;0.0833333333333;0.1;0.0;0.25;0;0;0.0
መልኩ;0;3;0;0;0.208333333333;0.2;0.0;0.0;0;0;0.0
ታፍነው;0;4;0;0;0.125;0.2;0.0;0.0;0;0;0.0
ወደ;0;2;0;0;0.0416666666667;0.0;0.0;0.0;1.0;0;0.0
ኢትዮጵያ;0;5;0;0;0.0416666666667;0.1;0.0;0.0;0;0;0.0
እንዲወሰዱ;0;6;0;0;0.25;0.3;0.0;0.0;0;0;0.0
አድርጓል;0;5;0;0;0.125;0.0;0.0;0.0;0;0;0.0
እና;0;2;0;0;0.0416666666667;0.1;0.0;0.0;0;0;0.0
በእንግሊዝኛ;0;7;0;0;0.0833333333333;0.3;0.111111111111;0.25;0;0;0.0
ተዘጋጅቶ;0;5;0;0;0.0833333333333;0.0;0.0;0.0;0;0;0.0
የቀረበውን;0;6;0;0;0.125;0.1;0.125;0.0;0;0;0.0
የኦኬሎን;0;5;0;0;0.125;0.1;0.142857142857;0.25;0;0;0.0
የክስ;0;3;0;0;0.0416666666667;0.1;0.2;0.0;0;0;0.0
መከላከያ;0;5;0;0;0.0833333333333;0.1;0.0;0.0;0;0;0.0
ለማንበብእዚህ;0;8;0;0;0.208333333333;0.2;0.0;0.25;0;0;0.0
ጋ;0;1;0;0;0.0;0.0;0.0;0.0;0;0;0.0
ይጫኑ;0;3;0;0;0.208333333333;0.2;0.0;0.0;0;0;0.0
